symbol,market_cap,pe_ratio,dividend_yield,enterprise_value,enterprise_to_revenue,enterprise_to_ebitda,52_week_high,52_week_low,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,revenue_per_share,quarterly_revenue_growth,gross_profit,ebitda,net_income_to_common,trailing_eps,forward_eps,peg_ratio,price_to_sales,price_to_book,forward_pe,beta,book_value,shares_outstanding,float_shares,shares_short,short_ratio,short_percent_of_float,held_by_insiders,held_by_institutions,short_percent_of_shares_outstanding,shares_short_prior_month,forward_annual_dividend_rate,forward_annual_dividend_yield,payout_ratio,dividend_growth,five_year_avg_dividend_yield,beta3_year,total_cash,total_cash_per_share,total_debt,total_debt_to_equity,current_ratio,quick_ratio,operating_cash_flow,levered_free_cash_flow
AAPL,3019131060224.0,30.57298,0.0050999997,3056567320576.0,8.009,23.579,199.62,164.08,0.26306,0.30743,0.22073999,1.4725,381623009280.0,24.537,,,129629003776.0,100389003264.0,6.44,7.22,2.81,7.911292,40.704983,27.270084,1.25,4.837,15334099968.0,15308014061.0,99287450.0,1.53,0.0064999997,0.052199997,0.5761,,101912593.0,1.0,0.0050999997,0.14930001,,0.71,,67150000128.0,4.379,104590000128.0,140.968,1.037,0.875,110563000320.0,
MSFT,3150184448000.0,36.760624,0.0070999996,3176398848000.0,13.426,25.213,433.6,309.45,0.36426997,0.44588003,0.1541,0.38487998,236583993344.0,31.834,,,125981999104.0,86181003264.0,11.53,13.26,2.22,13.3152895,12.444947,31.964556,0.893,34.058,7432309760.0,7421454628.0,43764126.0,2.18,0.0058999998,0.00054000004,0.73684,,56321541.0,3.0,0.0070999996,0.24780001,,0.93,,80013000704.0,10.766,106228998144.0,41.963,1.242,1.132,110122999808.0,
GOOGL,2164350779392.0,26.75767,0.0046,2076262662144.0,6.526,18.923,178.77,115.35,0.25902,0.32516,0.15608,0.29764,318145986560.0,25.374,,,109723000832.0,82405998592.0,6.52,8.59,1.19,6.8030114,7.3758087,20.309664,1.01,23.653,5873999872.0,11029638580.0,54895314.0,1.85,0.0094,0.00253,0.80933,,58724354.0,0.8,0.0046,,,,,108089999360.0,8.747,28376000512.0,9.69,2.149,1.982,107084996608.0,
JNJ,353974517760.0,21.821959,0.0337,361388376064.0,4.219,11.805,175.97,143.13,0.44923002,0.29509002,0.08009,0.24235001,85647998976.0,34.477,,,30613000192.0,17072000000.0,6.74,10.92,2.65,4.132899,5.055338,13.468864,0.53,29.094,2406680064.0,2402154626.0,17428317.0,2.1,0.0072000003,0.00084,0.71614,,16563652.0,4.96,0.0337,0.7073,,2.69,,26218000384.0,10.894,33632000000.0,48.032,1.17,0.845,23190999040.0,
PFE,161951154176.0,,0.0588,220200222720.0,4.012,22.887,40.37,25.2,-0.00563,0.31631002,0.0093,-0.00262,54889000960.0,9.717,,,9621000192.0,-288000000.0,-0.05,2.73,-23.13,2.950521,1.755097,10.468864,0.641,16.284,5666590208.0,5658376338.0,70223845.0,1.6,0.0124,0.00048000002,0.68547,,68062599.0,1.68,0.0588,4.4323997,,4.06,,11928999936.0,2.105,69902000128.0,75.522,1.047,0.67,8577999872.0,
JPM,574190387200.0,12.0597105,0.023,-181943009280.0,-1.213,,205.88,135.19,0.33566,0.45218,0.01285,0.15741,150000992256.0,51.308,,,,48509001728.0,16.58,16.57,9.87,3.8279107,1.871928,12.066989,1.11,106.815,2871670016.0,2855988572.0,20211078.0,2.24,0.0070999996,0.00453,0.73573995,,19887829.0,4.6,0.023,0.2565,,2.82,,1626683998208.0,566.46,840650981376.0,,,,-29942999040.0,
BAC,311094312960.0,13.71724,0.0241,235795333120.0,2.526,,40.19,24.96,0.26808,0.29642,0.00774,0.08724,93358997504.0,11.664,,,,23352000512.0,2.9,3.58,1.4,3.332237,1.1802403,11.111732,1.364,33.705,7820369920.0,7793155416.0,69567231.0,1.83,0.010299999,0.13293,0.60069,,64802751.0,0.96,0.0241,0.3241,,2.42,,830731976704.0,106.227,727036002304.0,,,,40742998016.0,
KO,275321716736.0,25.666666,0.0304,303686418432.0,6.591,20.722,64.36,51.55,0.23406,0.32965,0.08607,0.39314997,46073999360.0,10.668,,,14654999552.0,10784000000.0,2.49,3.01,3.79,5.9756417,10.417277,21.232557,0.593,6.135,4307959808.0,3874402685.0,31915734.0,2.46,0.0075,0.09952,0.63247,,23633021.0,1.94,0.0304,0.749,,3.03,,16919000064.0,3.927,43767001088.0,156.613,1.039,0.746,11966999552.0,
PEP,235144069120.0,25.759035,0.0317,272804397056.0,2.969,16.651,192.38,155.83,0.09996,0.15973,0.08768,0.5095,91875000320.0,66.806,,,16384000000.0,9184000000.0,6.64,8.83,2.97,2.5593913,12.347674,19.370327,0.531,13.852,1374790016.0,1371335267.0,16301239.0,3.29,0.0119,0.0015199999,0.76851,,15668125.0,5.42,0.0317,0.76199996,,2.74,,8350000128.0,6.074,45867999232.0,239.02,0.86,0.638,12792999936.0,
XOM,505788596224.0,13.817402,0.0337,459496030208.0,1.37,6.788,123.75,95.77,0.09781,0.13229999,0.0783,0.16248,335350988800.0,83.296,,,67689000960.0,32800000000.0,8.16,9.76,1.9,1.5082365,2.16602,11.552254,0.907,52.054,4485929984.0,3935357433.0,38017881.0,1.95,0.0085,0.00043000001,0.56479,,106529489.0,3.8,0.0337,0.4559,,5.15,,33319999488.0,8.45,40440000512.0,18.981,1.382,1.025,53691998208.0,
CVX,285439098880.0,14.372008,0.0418,304869179392.0,1.581,7.394,171.7,139.62,0.10528,0.13908,0.061479997,0.12641,192786006016.0,103.611,,,41230999552.0,20295999488.0,10.86,14.22,2.62,1.4806007,1.7947451,10.9760895,1.107,86.965,1828800000.0,1721024547.0,51080270.0,6.99,0.0279,0.06726,0.67486,,52153731.0,6.52,0.0418,0.5667,,4.42,,6278000128.0,3.399,21834999808.0,13.507,1.23,0.808,35231997952.0,
GLD,,,,,,,225.66,168.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,
USO,,22.093796,,,,,83.41,60.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,,,,,,,,
SLV,,,,,,,29.56,18.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,
BTC-USD,1367202463744.0,,,,,,73750.07,24797.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH-USD,443839676416.0,,,,,,4092.2842,1523.2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNQ,,23.006254,,,,,90.09,70.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,
^TNX,,,,,,,4.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LQD,,32.343513,,,,,111.4,98.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,,,,,,,,
AMZN,1917936336896.0,51.48045,,1993427386368.0,3.374,20.634,191.7,118.35,0.06379,0.106809996,0.059510004,0.20305,590739996672.0,57.133,,,96609001472.0,37683998720.0,3.58,5.76,1.34,3.2466674,8.849091,31.996527,1.142,20.827,10406599680.0,9261586201.0,70812929.0,1.55,0.0076,0.09158,0.63643,,75734073.0,,,,,,,85074001920.0,8.175,160560005120.0,74.107,1.072,0.829,99146997760.0,
META,1250407743488.0,28.331034,0.0041,1229922893824.0,8.618,17.969,531.49,265.33,0.32062998,0.38579,0.17312999,0.33361,142711996416.0,55.671,,,68446998528.0,45758001152.0,17.4,23.09,0.82,8.761756,8.363902,21.3495,1.206,58.939,2191450112.0,2186695395.0,29721686.0,1.51,0.0136,0.00183,0.79148,,27026387.0,2.0,0.0041,0.028800001,,,,58119999488.0,22.913,37632999424.0,25.168,2.681,2.546,76360998912.0,
TSLA,566019162112.0,45.50769,,549868535808.0,5.804,44.832,299.29,138.8,0.14368,0.054970004,0.04717,0.23736,94745001984.0,29.803,,,12264999936.0,13651999744.0,3.9,3.37,4.58,5.974132,8.791361,52.66469,2.318,20.188,3189199872.0,2772144984.0,104790820.0,1.03,0.0377,0.12987,0.45941,,106654831.0,,,,,,,26862999552.0,8.423,9911000064.0,15.206,1.716,1.05,10984999936.0,
BRK-B,892609101824.0,12.193339,,-59349565440.0,-0.161,-0.554,430.0,330.58,0.199,0.18392,0.05711,0.13568,368958013440.0,255402.66,,,107046002688.0,73420996608.0,33.93,19.71,0.92,2.41927,0.0010407886,20.990362,0.88,397506.28,1311379968.0,1213737.0,10699761.0,3.67,0.0092,0.00399,0.66146004,,10689573.0,,,,,,,188992995328.0,131537.44,122753998848.0,21.246,1.797,1.606,51069001728.0,
V,570186727424.0,31.136314,0.0075,561954947072.0,16.46,23.472,290.96,221.37,0.53865004,0.66564006,0.16023001,0.46528,34140999680.0,16.876,,,23942000640.0,18108000256.0,8.95,11.18,2.08,16.70094,14.326035,24.92576,0.967,19.452,1574150016.0,1570938287.0,36954822.0,4.46,0.0235,0.00629,0.98522,,32633006.0,2.08,0.0075,0.21700001,,0.65,,17703000064.0,8.85,20603000832.0,50.89,1.398,1.004,20875999232.0,
WMT,530978930688.0,28.274677,0.0126,592586670080.0,0.902,14.813,67.57,49.84667,0.02882,0.04394,0.06979,0.23464,657331978240.0,81.456,,,40004001792.0,18941999104.0,2.33,2.67,3.38,0.80777895,6.5260024,24.674156,0.517,10.095,8059789824.0,4335010430.0,43289108.0,2.9,0.01,0.46233,0.3489,,35692740.0,0.83,0.0126,0.3332,,1.58,,9404999680.0,1.168,64462999552.0,73.013,0.803,0.192,35342000128.0,
PG,394284990464.0,27.342062,0.0241,420514201600.0,5.003,17.364,168.97,141.45,0.17994,0.22941,0.111590005,0.31794,84059996160.0,35.616,,,24217999360.0,14844999680.0,6.11,6.97,3.24,4.690519,8.004791,23.968437,0.414,20.87,2360140032.0,2356477072.0,19177180.0,2.95,0.0081,0.00090000004,0.68432,,14994824.0,4.03,0.0241,0.6148,,2.42,,6828000256.0,2.893,31982000128.0,63.541,0.694,0.4,19433000960.0,
DIS,185111478272.0,110.36957,0.0089,229286789120.0,2.57,14.197,123.74,78.73,0.019,0.13504,0.0341,0.02716,89202999296.0,48.718,,,16149999616.0,1695000064.0,0.92,5.46,1.17,2.075171,1.8680894,18.597069,1.402,54.355,1823040000.0,1820290231.0,20333395.0,1.71,0.0112,0.0008,0.70285004,,20058422.0,0.9,0.0089,0.3261,,1.38,,6634999808.0,3.64,46299000832.0,44.62,0.749,0.568,13454999552.0,
MA,418131542016.0,35.725975,0.0058999998,426168713216.0,16.584,27.053,490.0,359.77,0.46093,0.58759,0.22886999,1.86315,25698000896.0,27.367,,,15752999936.0,11845000192.0,12.59,16.64,1.63,16.270975,57.813625,27.030651,1.089,7.78,922470016.0,921146604.0,4385998.0,1.74,0.0053,0.107200004,0.79007006,,5120546.0,2.64,0.0058999998,0.1884,,0.51,,7656999936.0,8.237,15628999680.0,213.862,1.09,0.703,11733000192.0,
NVDA,2973639376896.0,711.10583,0.0033000002,2953643819008.0,37.025,59.942,1216.9171,38.618,0.53398,0.64925003,0.49103,1.15658,79773999104.0,32.336,,,49274998784.0,42597998592.0,1.7,35.9,0.96,37.275795,60.489365,33.67354,1.694,19.985,2459830016.0,2359681200.0,278905720.0,0.64,0.0117999995,0.043169998,0.67513,,290753620.0,0.4,0.0033000002,0.0094,,0.12,,31438000128.0,12.78,11237000192.0,22.866,3.529,2.877,40524001280.0,
HD,324287528960.0,21.933601,0.0275,372029587456.0,2.45,15.18,396.87,274.26,0.09794,0.13946,0.17042999,13.6297,151830003712.0,152.785,,,24508000256.0,14869999616.0,14.91,16.25,6.37,2.1358593,178.21797,20.124924,1.0,1.835,991614016.0,989690454.0,8475714.0,2.32,0.0086,0.00058,0.72691,,9305438.0,9.0,0.0275,0.571,,2.3,,4264000000.0,4.3,52005998592.0,2857.473,1.339,0.344,21055000576.0,
PYPL,70399164416.0,16.95214,,67738898432.0,2.226,11.97,76.54,50.25,0.14259,0.17950001,0.03951,0.21395001,30429999104.0,28.001,,,5658999808.0,4338999808.0,3.97,4.66,1.01,2.313479,3.4231944,14.442061,1.428,19.66,1046049984.0,1043179875.0,22737203.0,1.8,0.0218,0.0021,0.72481,,20965194.0,,,,,,,14318000128.0,13.688,11658000384.0,56.313,1.278,0.312,5590000128.0,
UNH,451623714816.0,29.938377,0.0171,502780755968.0,1.325,14.364,554.7,436.38,0.04048,0.07947,0.070879996,0.17222,379486994432.0,410.145,,,35001999360.0,15361000448.0,16.39,31.03,1.41,1.1900901,5.2075863,15.813406,0.59,94.226,920385024.0,917669939.0,8114406.0,1.92,0.0088,0.00226,0.89548,,7893592.0,8.4,0.0171,0.4591,,1.37,,32710000640.0,35.539,73637003264.0,75.979,0.817,0.758,13884999680.0,
VZ,172326699008.0,15.333332,0.065,352067911680.0,2.627,7.331,43.42,30.14,0.084350005,0.23125,0.04997,0.124239996,134043000832.0,31.817,,,48027000832.0,11306999808.0,2.67,4.71,8.04,1.2856076,1.8267815,8.692144,0.405,22.411,4209250048.0,4202730549.0,45813424.0,2.44,0.0109,0.00041,0.64455,,41245176.0,2.66,0.065,0.99160004,,5.34,,2424999936.0,0.576,180773994496.0,188.845,0.708,0.527,36269998080.0,
ADBE,208512630784.0,44.453674,,205778632704.0,10.322,27.115,638.25,433.97,0.24082,0.368,0.15724,0.32367,19936000000.0,43.762,,,7589000192.0,4800999936.0,10.47,20.37,1.9,10.459101,13.637775,22.848797,1.269,34.128,448000000.0,446745600.0,8007830.0,2.99,0.0179,0.00209,0.8628,,7193329.0,,,,,0.12,,6819999744.0,15.223,4086000128.0,26.429,1.049,0.931,6783000064.0,
NFLX,276410040320.0,44.45391,,285916987392.0,8.185,34.757,664.25,344.73,0.18422002,0.28094,0.10009,0.29795998,34932232192.0,79.703,,,8226065920.0,6435079168.0,14.43,22.3,1.33,7.9127507,12.939123,28.76547,1.257,49.576,430900992.0,426814798.0,8250632.0,1.84,0.019299999,0.00736,0.85176,,6454315.0,,,,,,,7045739008.0,16.349,16511605760.0,77.282,1.068,0.891,7308083200.0,
CMCSA,152864620544.0,10.334217,0.0318,243665469440.0,1.998,6.483,47.46,36.43,0.12638,0.19326,0.056110002,0.18132,121939001344.0,30.036,,,37586001920.0,15411000320.0,3.77,4.51,1.07,1.2536155,1.8572723,8.63858,1.001,20.977,3914180096.0,3882035612.0,55361723.0,2.55,0.0143,0.0068699997,0.88575,,53514621.0,1.24,0.0318,0.313,,2.28,,6514999808.0,1.66,96572997632.0,115.945,0.595,0.488,29120999424.0,
INTC,130856181760.0,31.69072,0.0163,166782173184.0,3.019,15.883,51.28,29.73,0.07361,-0.05666,0.00236,0.03794,55237001216.0,13.114,,,10501000192.0,4065999872.0,0.97,1.94,0.7,2.368995,1.2348357,15.84536,1.06,24.894,4256869888.0,4249635390.0,83239691.0,1.6,0.0196,0.00059999997,0.69114995,,76281751.0,0.5,0.0163,0.5155,,2.89,,21311000576.0,5.006,52450000896.0,47.356,1.566,0.984,12033000448.0,
MRK,330962272256.0,145.18889,0.023599999,359621787648.0,5.857,16.954,133.1,99.14,0.03756,0.42466,0.10257,0.05311,61403000832.0,24.215,,,21211000832.0,2305999872.0,0.9,9.95,0.16,5.390002,8.199159,13.132664,0.403,15.937,2532809984.0,2528221928.0,20265716.0,2.84,0.008,0.00053,0.78850996,,20429972.0,3.08,0.023599999,3.3332999,,2.88,,5618999808.0,2.218,34218999808.0,84.65,1.253,0.725,14757000192.0,
ABT,187149385728.0,33.51402,0.020399999,195436871680.0,4.846,18.85,121.64,89.67,0.13961,0.15405,0.060900003,0.14762,40326000640.0,23.181,,,10368000000.0,5608000000.0,3.21,5.14,2.78,4.640911,4.822269,20.929962,0.739,22.309,1739629952.0,1728535616.0,14768830.0,2.62,0.0085,0.0053100004,0.77025,,12937099.0,2.2,0.020399999,0.648,,1.6,,6650999808.0,3.823,14705000448.0,37.664,1.596,0.945,7143000064.0,
ABBV,299173675008.0,50.573135,0.0366,355503308800.0,6.535,13.612,182.89,130.96,0.11016,0.28294,0.07705,0.56244,54402998272.0,30.775,,,26115999744.0,5951000064.0,3.35,12.06,2.42,5.499213,37.358326,14.048092,0.582,4.535,1765869952.0,1762194776.0,15927790.0,3.04,0.009,0.00105,0.72764,,13536080.0,6.2,0.0366,1.7827001,,4.37,,18069000192.0,10.232,74358996992.0,924.059,0.936,0.723,22685999104.0,
T,129780080640.0,9.731183,0.061300002,294324994048.0,2.406,6.983,18.45,13.43,0.11133,0.21993,0.040570002,0.13035,122316996608.0,17.019,,,42146000896.0,13411000320.0,1.86,2.29,6.75,1.0610143,1.2414266,7.9039307,0.736,14.58,7170169856.0,7155681370.0,91556841.0,2.53,0.0128,0.00085,0.59596,,82717850.0,1.11,0.061300002,0.5968,,7.12,,3585999872.0,0.5,152075993088.0,126.105,0.679,0.407,39182999552.0,
